"zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes"
"05443","STANDARD","Bristol","Lincoln","Downingville, Jerusalem, Rocky Dale, South Lincoln, West Lincoln","VT","Addison County","America/New_York","802","44.13","-73.08","NA","US","0","5546",
"05444","STANDARD","Cambridge",,"Binghamville, Cambridgeboro, Cloverdale, Fletcher, Pleasant Valley","VT","Lamoille County","America/New_York","802","44.63","-72.88","NA","US","0","1600",
"05445","STANDARD","Charlotte",,"Cedar Beach","VT","Chittenden County","America/New_York","802","44.3","-73.25","NA","US","0","3516",
"05446","STANDARD","Colchester",,"Camp Johnson, Smc, St Michaels College","VT","Chittenden County","America/New_York","802","44.53","-73.15","NA","US","0","13766",
"05447","STANDARD","East Berkshire","E Berkshire","Berkshire","VT","Franklin County","America/New_York","802","44.92","-72.7","NA","US","0","0",
"05448","STANDARD","East Fairfield","E Fairfield",,"VT","Franklin County","America/New_York","802","44.8","-72.91","NA","US","0","962",
"05449","PO BOX","Colchester",,,"VT","Chittenden County","America/New_York","802","44.53","-73.15","NA","US","0","0",
"05450","STANDARD","Enosburg Falls","Enosburg Fls","Berkshire Center, Bordoville, East Enosburg, East Sheldon, Enosburg, Enosburg Center, Herrick, Hill West, S Franklin, Samsonville, So Franklin, West Berkshire, West Enosburg, Woodpecker Village","VT","Franklin County","America/New_York","802","44.9","-72.8","NA","US","0","4192",
"05451","PO BOX","Essex",,"Essex Center, Essex Junction","VT","Chittenden County","America/New_York","802","44.52","-73.05","NA","US","0","445",
"05452","STANDARD","Essex Junction","Essex Jct","Brookside, Essex, Essex Ctr, Pinewood","VT","Chittenden County","America/New_York","802","44.49","-73.11","NA","US","0","17705",
"05453","PO BOX","Essex Junction","Essex Jct",,"VT","Chittenden County","America/New_York","802","44.49","-73.11","NA","US","0","435",
"05454","STANDARD","Fairfax",,"Georgia","VT","Franklin County","America/New_York","802","44.67","-73.02","NA","US","0","4130",
"05455","STANDARD","Fairfield","Sheldon",,"VT","Franklin County","America/New_York","802","44.8","-72.95","NA","US","0","1037",
"05456","STANDARD","Ferrisburgh",,"Ferrisburg","VT","Addison County","America/New_York","802","44.2","-73.25","NA","US","0","1108",
